x,y,z
0,9.811,0
0,9.724,0
0,9.799,0
0,9.76,0
0,10.03,0
0,10.22,0
0,10.53,0
0,10.52,0
0,9.73,0
0,9.437,0
0,9.413,0
0,9.896,0
0,10.19,0
0,10.38,0
0,10.42,0
0,10.45,0
0,9.889,0
0,9.927,0
0,9.931,0
0,9.956,0
0,10.38,0
0,10.6,0
0,10.65,0
0,9.882,0
0,9.765,0
0,9.593,0
0,9.617,0
0,9.709,0
0,9.61,0
0,9.632,0
0,9.759,0.07
0,9.762,0.05
0,9.757,0.07
0,9.887,0.07
0,9.864,0.1
0,9.598,0.09
0,9.721,0.1
0,10.02,0.08
0,10.08,0.08
0,10.08,0.1
0,10.06,0.11
0,10.08,0.1
0,10.06,0.09
0,10.07,0.09
0,10.07,0.1
0,9.873,0.1
0,9.855,0.11
0,9.838,0.1
0,9.84,0.09
0,9.843,0.1
0,9.981,0.09
0,9.956,0.09
0,9.94,0.11
0,9.933,0.1
0,10.19,0.09
0,10.24,0.07
0,10.39,0.06
0,10.44,0.09
0,10.58,0.07
0,10.65,0.07
0,10.52,0.07
0,10.51,0.06
0,10.3,0.06
0,10.29,0.07
0,10.27,0.07
0,10.43,0.06
0,10.37,0.05
0,10.14,0.06
0,10.14,0.06
0,10.36,0.08
0,10.45,0.05
0,10.64,0.06
0,10.78,0.06
0,10.73,0.05
0,10.68,0.04
0,10.26,0.03
0,10.12,0.03
0,10.14,0.04
0,10.11,0.03
0,10.22,0.03
0,10.27,0.04
0,10.42,0.03
0,10.42,0.04
0,10.4,0.04
0,10.37,0.04
0,10.36,0.04
0,10.32,0.02
0,10.29,0.01
0,10.21,0
0,10.21,0.02
0,10.18,0.04
0,9.961,0.03
0,9.951,0.03
0,9.93,0.02
0,9.929,0.03
0,9.938,0.01
0,10.17,0.02
0,10.31,0.03
0,10.27,0.03
0,10.26,0.03
0,10.26,0.03
0,10.25,0.02
0,10.22,0.02
0,10.21,0.01
0,10.21,0.01
0,10.2,0.02
0,10.47,0.02
0,10.46,0.01
0,10.43,0.01
0,10.41,0.02
0,10.39,0.01
0,10.22,0.02
0,10.22,0.03
0,10.22,0.02
0,10.22,0
0,10.2,0.01
0,10.24,0
0,10.41,0
0,10.88,0
0,10.89,0
0,11,0
0,10.97,0
0,11.05,0
0,11.13,0
0,11.1,0
0,10.72,0
0,10.71,0
0,10.36,0.02
0,10.2,0.02
0,10.21,0.02
0,10.09,0.05
0,10.09,0.04
0,10.64,0.02
0,10.64,0
0,10.4,0
0,10.45,0
0,10.37,0
0,10.2,0.03
0,9.886,0.03
0,24.09,1.5
0,24.06,1.49
0,23.98,1.47
0,24,1.46
0,23.93,1.51
0,23.89,1.5
0,23.83,1.49
0,23.95,1.52
0,24.02,1.54
0,23.91,1.54
0,24.24,1.51
0,24.21,1.52
0,24.55,1.5
0,24.51,1.5
0,24.48,1.48
0,24.45,1.5
0,24.36,1.5
0,23.97,1.52
0,23.96,1.51
0,23.98,1.53
0,23.98,1.52
0,23.84,1.52
0,23.84,1.5
0,23.84,1.5
0,23.83,1.47
0,23.78,1.48
0,23.71,1.46
0,23.7,1.45
0,23.61,1.49
0,23.56,1.51
0,23.87,1.47
0,23.83,1.5
0,23.78,1.48
0,24.19,1.49
0,24.12,1.49
0,23.95,1.46
0,23.96,1.49
0,24.08,1.49
0,24.24,1.48
0,24.22,1.49
0,24.03,1.46
0,24.04,1.49
0,24.26,1.49
0,24.47,1.49
0,24.47,1.49
0,24.44,1.47
0,24.41,1.47
0,24.4,1.48
0,24.27,1.45
0,24.13,1.47
0,24.23,1.49
0,24.21,1.49
0,24.13,1.5
0,24.31,1.49
0,24.22,1.48
0,24.19,1.46
