x,y,z
0,0,9.811
0,0,9.724
0,0,9.799
0,0,9.76
0,0,10.03
0,0,10.22
0,0,10.53
0,0,10.52
0,0,9.73
0,0,9.437
0,0,9.413
0,0,9.896
0,0,10.19
0,0,10.38
0,0,10.42
0,0,10.45
0,0,9.889
0,0,9.927
0,0,9.931
0,0,9.956
0,0,10.38
0,0,10.6
0,0,10.65
0,0,9.882
0,0,9.765
0,0,9.593
0,0,9.617
0,0,9.709
0,0,9.61
0,0,9.632
0,0.07,9.759
0,0.05,9.762
0,0.07,9.757
0,0.07,9.887
0,0.1,9.864
0,0.09,9.598
0,0.1,9.721
0,0.08,10.02
0,0.08,10.08
0,0.1,10.08
0,0.11,10.06
0,0.1,10.08
0,0.09,10.06
0,0.09,10.07
0,0.1,10.07
0,0.1,9.873
0,0.11,9.855
0,0.1,9.838
0,0.09,9.84
0,0.1,9.843
0,0.09,9.981
0,0.09,9.956
0,0.11,9.94
0,0.1,9.933
0,0.09,10.19
0,0.07,10.24
0,0.06,10.39
0,0.09,10.44
0,0.07,10.58
0,0.07,10.65
0,0.07,10.52
0,0.06,10.51
0,0.06,10.3
0,0.07,10.29
0,0.07,10.27
0,0.06,10.43
0,0.05,10.37
0,0.06,10.14
0,0.06,10.14
0,0.08,10.36
0,0.05,10.45
0,0.06,10.64
0,0.06,10.78
0,0.05,10.73
0,0.04,10.68
0,0.03,10.26
0,0.03,10.12
0,0.04,10.14
0,0.03,10.11
0,0.03,10.22
0,0.04,10.27
0,0.03,10.42
0,0.04,10.42
0,0.04,10.4
0,0.04,10.37
0,0.04,10.36
0,0.02,10.32
0,0.01,10.29
0,0,10.21
0,0.02,10.21
0,0.04,10.18
0,0.03,9.961
0,0.03,9.951
0,0.02,9.93
0,0.03,9.929
0,0.01,9.938
0,0.02,10.17
0,0.03,10.31
0,0.03,10.27
0,0.03,10.26
0,0.03,10.26
0,0.02,10.25
0,0.02,10.22
0,0.01,10.21
0,0.01,10.21
0,0.02,10.2
0,0.02,10.47
0,0.01,10.46
0,0.01,10.43
0,0.02,10.41
0,0.01,10.39
0,0.02,10.22
0,0.03,10.22
0,0.02,10.22
0,0,10.22
0,0.01,10.2
0,0,10.24
0,0,10.41
0,0,10.88
0,0,10.89
0,0,11
0,0,10.97
0,0,11.05
0,0,11.13
0,0,11.1
0,0,10.72
0,0,10.71
0,0.02,10.36
0,0.02,10.2
0,0.02,10.21
0,0.05,10.09
0,0.04,10.09
0,0.02,10.64
0,0,10.64
0,0,10.4
0,0,10.45
0,0,10.37
0,0.03,10.2
0,0.03,9.886
0,1.5,24.09
0,1.49,24.06
0,1.47,23.98
0,1.46,24
0,1.51,23.93
0,1.5,23.89
0,1.49,23.83
0,1.52,23.95
0,1.54,24.02
0,1.54,23.91
0,1.51,24.24
0,1.52,24.21
0,1.5,24.55
0,1.5,24.51
0,1.48,24.48
0,1.5,24.45
0,1.5,24.36
0,1.52,23.97
0,1.51,23.96
0,1.53,23.98
0,1.52,23.98
0,1.52,23.84
0,1.5,23.84
0,1.5,23.84
0,1.47,23.83
0,1.48,23.78
0,1.46,23.71
0,1.45,23.7
0,1.49,23.61
0,1.51,23.56
0,1.47,23.87
0,1.5,23.83
0,1.48,23.78
0,1.49,24.19
0,1.49,24.12
0,1.46,23.95
0,1.49,23.96
0,1.49,24.08
0,1.48,24.24
0,1.49,24.22
0,1.46,24.03
0,1.49,24.04
0,1.49,24.26
0,1.49,24.47
0,1.49,24.47
0,1.47,24.44
0,1.47,24.41
0,1.48,24.4
0,1.45,24.27
0,1.47,24.13
0,1.49,24.23
0,1.49,24.21
0,1.5,24.13
0,1.49,24.31
0,1.48,24.22
0,1.46,24.19
0,1.46,24.15
0,1.47,24.09
0,1.48,24.58
0,1.5,24.6
0,1.48,24.25
0,1.49,24.19
0,1.49,24.2
0,1.48,24.01
0,1.47,23.91
0,1.48,24.05
0,1.47,24.13
0,1.46,24.07
0,1.46,24.07
0,1.47,24.06
0,1.46,24.07
0,1.47,24.24
0,1.46,24.21
0,1.47,24.44
0,1.49,24.5
0,1.48,24.5
0,1.45,24.65
0,1.46,24.64
0,1.46,24.62
0,1.47,24.59
0,1.48,24.5
0,1.46,24.3
0,1.47,24.26
0,1.46,24.19
0,1.47,23.91
0,1.45,23.55
0,1.45,23.33
0,1.44,23.38
0,1.44,23.81
0,1.45,23.75
0,1.45,23.7
0,1.45,23.95
0,1.46,23.92
0,1.46,23.85
0,1.46,23.65
