x,y,z
0,0,57.82
0,0,56.85
0,0,57.72
0,0,57.59
0,0,59.2
0,0,60.2
0,0,62.33
0,0,62.3
0,0,57.37
0,0,56.44
0,0,56.38
0,0,59.52
0,0,61.06
0,0,62.67
0,0,63.22
0,0,63.42
0,0,59.48
0,0,59.27
0,0,59.33
0,0,59.47
0,0,62.28
0,0,64.34
0,0,64.73
0,0,60.04
0,0,58.82
0,0,57.84
0,0,57.97
0,0,58.6
0,0,58.11
0,0,58.25
0,673.8,56.95
0,481.1,56.81
0,673.4,56.81
0,673.3,59.17
0,961.7,59.02
0,865.4,57.44
0,961.4,57.84
0,769,59.5
0,768.9,59.83
0,960.9,59.83
0,1057,59.69
0,960.8,60.4
0,864.5,60.37
0,864.4,60.41
0,960.4,60.37
0,960.1,58.92
0,1056,58.84
0,960.2,58.74
0,863.8,58.78
0,959.7,58.83
0,863.5,59.71
0,863.4,59.54
0,1055,59.42
0,959,59.36
0,862.9,61.68
0,671.1,62.14
0,575.2,62.67
0,862.8,62.13
0,670.9,62.85
0,670.8,63.29
0,670.8,62.1
0,574.8,62.07
0,574.8,60.76
0,670.5,60.72
0,670.3,60.61
0,574.5,61.57
0,478.7,60.98
0,574.3,60.21
0,574.2,60.24
0,765.5,61.84
0,478.3,62.35
0,574,62.89
0,573.9,64.21
0,478.2,63.9
0,382.4,63.45
0,286.8,60.89
0,286.7,60.1
0,382.3,60.23
0,286.7,60.04
0,286.6,60.35
0,382.1,60.85
0,286.5,62.15
0,382,62.16
0,381.9,62.05
0,381.8,61.86
0,381.7,61.74
0,190.9,61.53
0,95.41,61.29
0,0,60.37
0,190.7,60.14
0,381.4,59.94
0,286,59.21
0,285.9,59.18
0,190.6,59.03
0,285.8,58.98
0,95.26,58.97
0,190.5,59.6
0,285.7,59.93
0,285.7,59.78
0,285.7,59.7
0,285.6,60.03
0,190.4,60.8
0,190.3,60.83
0,95.16,60.74
0,95.15,60.71
0,190.3,60.6
0,190.2,61.55
0,95.08,61.44
0,95.06,61.3
0,190.1,61.16
0,95.05,61.01
0,190,60.55
0,285.1,60.5
0,190,60.49
0,0,60.52
0,94.98,60.18
0,0,60.29
0,0,61.34
0,0,63.25
0,0,63.2
0,0,64.12
0,0,63.93
0,0,64.67
0,0,65.45
0,0,65.32
0,0,62.05
0,0,62.09
0,189.6,61
0,189.5,60.84
0,189.5,60.96
0,473.7,60.48
0,378.9,60.45
0,189.4,62.99
0,0,62.93
0,0,60.97
0,0,61.02
0,0,60.32
0,283.9,58.79
0,283.9,57.3
0,14395,132
0,14299,131.7
0,14106,131.4
0,14010,131.6
0,14491,131.2
0,14394,131
0,14299,130.6
0,14586,131.3
0,14776,132.3
0,14776,131.7
0,14489,132.6
0,14588,132.4
0,14394,134.3
0,14393,134.1
0,14201,134
0,14392,133.8
0,14392,133.4
0,14583,131.1
0,14489,131
0,14680,130.9
0,14584,130.8
0,14584,130.2
0,14391,130.2
0,14391,130.1
0,14104,130
0,14198,129.8
0,14008,129.5
0,13911,129.4
0,14295,128.9
0,14487,128.7
0,14103,130.6
0,14390,130.6
0,14196,130.2
0,14292,131.3
0,14293,131
0,14004,130.7
0,14293,130.8
0,14291,131.5
0,14195,132.5
0,14289,132.4
0,14003,131.3
0,14290,131.3
0,14290,131.8
0,14293,132.3
0,14290,132.3
0,14098,132.2
0,14098,132
0,14196,132
0,13906,131.1
0,14095,130.4
0,14286,131.4
0,14286,131.1
0,14383,130.8
0,14285,132
0,14189,131.5
0,13996,131.3
0,13995,131
0,14089,130.6
0,14182,133.7
0,14376,134
0,14183,131.9
0,14278,131.6
0,14277,131.5
0,14181,130.3
0,14083,129.7
0,14180,130.8
0,14083,131.5
0,13987,131.1
0,13985,131.1
0,14083,131.1
0,13988,131.1
0,14081,131.5
0,13987,131.3
0,14082,133.1
0,14275,133.6
0,14177,133.7
0,13891,134.6
0,13983,134.6
0,13981,134.5
0,14077,134.2
0,14174,133.5
0,13980,131.9
0,14075,131.7
0,13978,131.4
0,14072,130.3
0,13882,128.3
0,13882,127
0,13784,127.2
0,13783,129.7
0,13877,129.3
0,13877,129.1
0,13876,129.9
0,13972,129.8
0,13972,129.5
0,13969,128.8
0,13970,127.7
0,13969,129.8
0,13680,129.8
0,13679,129.3
0,13870,129
0,13775,128.7
0,13869,127.8
0,13773,128.2
0,13868,129
0,13581,129.2
0,13676,128.9
0,13962,128.6
0,13863,129.6
0,13959,130.7
0,18515,147.9
0,18610,148
0,18512,148.3
0,18417,149.5
0,18415,149.1
0,18700,149
0,18414,149.1
0,18319,149.2
0,18510,150.1
0,18510,150.9
0,18510,150.5
0,18701,150.4
0,18507,150.6
0,18505,150.6
0,18505,150.4
0,18694,151
0,18505,150.7
0,18409,150.6
0,18409,150.4
0,18598,150.5
0,18501,149.9
0,18406,149.6
0,18502,149.5
0,18405,149.5
0,18306,149.4
0,18496,149.5
0,18401,151.9
0,18306,151.9
0,18592,151.8
0,18591,152.1
0,18590,151.2
0,18683,151.3
0,18398,151.2
0,18494,151
0,18586,150.9
0,18301,150.6
0,18299,150.5
0,18489,150.5
0,18297,150.8
0,18395,150.8
0,18490,150.7
0,18491,152.1
0,18582,151.7
0,18771,151.6
0,18674,149.7
0,18387,149.7
0,18386,149.4
0,18385,148.4
0,18481,150.3
0,18673,150.4
0,18291,150.2
0,18385,150.2
0,18385,150.2
0,18386,150.4
0,18289,150.3
0,18382,151.2
0,18669,151.2
0,18384,151.3
0,18380,148.8
0,18287,148.9
0,18475,148.8
0,18286,146.8
0,18378,146.7
0,18284,147.1
0,18186,148.6
0,18568,149.9
0,18378,150
0,18377,150
0,18476,149.7
0,18473,150.2
0,18381,150.1
0,18188,150.2
0,18279,150.1
0,18568,149.8
0,18472,149.8
0,18375,150.7
0,18088,151
0,18181,150.8
0,18465,151.5
0,18466,151.7
0,18369,150
0,18372,149.5
0,18276,149
0,18655,149.4
0,18372,149.3
0,18276,148.7
0,18370,149.5
0,18274,151.2
0,18367,150.1
0,18272,150.3
0,18080,151.1
0,18272,150.8
0,18367,151.8
0,18558,152
0,18461,151.7
0,18363,151.7
0,18269,155.1
0,18267,154.6
0,18459,154.8
0,18363,153.6
0,18552,151.4
0,18363,151.4
0,18363,151.1
0,18265,151.2
0,18360,150.8
0,18169,150.6
0,18262,150.6
0,18357,150.3
0,18546,150.3
0,18449,150.2
0,18355,150.4
0,18450,149.4
0,18354,148.5
0,18351,148.6
0,18352,149.6
0,18448,149.8
0,18353,151.3
0,18353,151.8
0,18352,150.8
0,27346,190.3
0,27820,190.3
0,27727,189.9
0,27437,190.2
0,27436,190
0,27533,189.7
0,27812,189.6
0,27623,191.5
0,27051,192
0,27630,191.8
0,27534,192
0,27724,191.6
0,27820,192.1
0,27915,192.2
0,27630,192.2
0,27342,191.5
0,27726,190.9
0,27530,190.9
0,27243,191.1
0,27717,192.1
0,27621,192
0,27529,192.1
0,27243,192.1
0,27435,193.9
0,27439,193.9
0,27152,191.9
0,27437,190.9
0,27438,190.8
0,27822,191.7
0,27534,191.8
0,27628,191.8
0,27061,191.7
0,27441,189.8
0,27442,190.2
0,27629,189.4
0,27442,189.8
0,27542,189.1
0,27251,190.3
0,27637,190.4
0,27540,190.4
0,27633,190.2
0,27827,190.1
0,27439,190.8
0,27441,190.5
0,27348,190.5
0,27639,191.6
0,27637,191.1
0,27539,190.8
0,27543,191
0,27641,188.6
0,27546,189.4
0,27542,189.3
0,27636,189.7
0,27636,189.9
0,27447,189.9
0,27349,189.9
0,27449,189.7
0,27352,191.8
0,27447,193.3
0,27639,195.8
0,27548,194.1
0,27451,194.2
0,27735,194.2
0,27352,193.9
0,27642,193.4
0,27543,193.3
0,27739,195
0,27639,193.8
0,27452,193.9
0,27349,192.9
0,27545,192.6
0,27547,192.8
0,27642,192.3
0,27358,192.6
0,27169,191.6
0,27454,191.2
0,27643,191
0,26789,190.7
0,27645,191
0,27551,191.6
0,27551,193.9
0,27650,191.9
0,27550,189.9
0,27651,189.6
0,27649,188.8
0,27744,188.8
0,27652,191.7
0,27459,191.5
0,26982,191
0,27363,191
0,27362,191.7
0,27836,192.7
0,27745,192.3
0,27650,193.5
0,27651,193.6
0,27742,193.8
0,27742,193.6
0,27745,193.3
0,27742,191.7
0,27747,191.4
0,27458,191.9
0,27653,191.7
0,27365,190.5
0,40733,248.9
0,40547,249.3
0,40359,247
0,40647,246.7
0,40650,246.5
0,40838,248.7
0,40065,248.9
